gene,MF.score
SSTR2,7.1431281933835e-5
HOXA10,1.81522833551609e-5
HOXA11,8.93557315338659e-5
DNAJA1,1.0513045696721e-4
INPP5B,6.15943221620267e-5
SSTR3,7.21371021617878e-5
CYLC1,5.37742281150772e-5
GPX4,7.42018706418908e-5
CETN2,7.41037980419823e-5
RGS2,1.46310002054185e-4
ADCYAP1R1,9.80819875180998e-5
HTT,4.647320636737e-4
ATRX,2.9225583126955e-4
NOTCH1,0.0013472245730675
SOX9,0.00107241719474955
NR0B1,1.32994456030301e-4
AGFG1,1.69336099615622e-5
PRKAG1,6.28515954076031e-5
RAD23B,6.85741805432911e-5
SOX8,2.70624202085332e-4
NANOS2,3.27392238411004e-5
PAFAH1B2,5.93333504047382e-5
CCNA1,1.78489489049912e-5
E2F1,9.80033225463156e-5
TSPY1,1.4572351156472e-5
HIST1H1A,1.4919869411781e-5
PAX5,3.52706287087324e-5
CREM,1.3792501463544e-5
HSF2,4.54109245164127e-5
TNP2,2.60233367211896e-5
SPAG11B,1.99491852412538e-6
DAZ2,2.35061403898489e-6
PRDX4,1.21960233982144e-4
BIK,3.3138530294952e-5
BIRC3,1.04256235431897e-4
ATP1A4,6.59721318538626e-5
CCIN,3.32121141832508e-5
CYLC2,3.38817329530622e-5
CCNI,1.02366202057553e-6
FAM50A,1.43055354426452e-6
GAMT,9.56261393171056e-5
WFDC2,3.42099998137008e-5
ODF1,1.28367080177538e-5
ACOX1,1.09173022850642e-4
NR6A1,1.40421327465652e-5
RBMY1F,2.01345153863231e-6
SPA17,1.26487601312779e-5
TESK1,5.71136543247565e-6
MEA1,3.72953142263181e-6
RNF151,2.28728122228404e-6
ODF4,1.3304748601983e-5
TSNAXIP1,1.33141183059404e-6
SLC9C1,1.38528873833993e-5
SPATA31A4,1.13532910324928e-6
ACSBG2,2.21001328996102e-5
TAF7L,9.03864310137583e-6
MEIG1,1.21637415385767e-6
SPATA31A2,1.13532910324928e-6
CELF3,2.7794441550419e-5
UTP14C,1.00523262504504e-5
SPATA31A1,1.13532910324928e-6
SPATA31A5,1.13532910324928e-6
SPATA31A6,1.13532910324928e-6
SPATA31A3,1.13532910324928e-6
SPATA31B1,1.0201067785373e-6
GGNBP1,4.4388691203121e-6
TSSK4,7.5002999647649e-6
SLCO4C1,6.68463673591756e-6
SPATA31D1,1.13532910324928e-6
CATSPERG,2.06775526950395e-5
SPATA31D4,1.13532910324928e-6
SPATA31E1,1.13532910324928e-6
MICALCL,4.38758336667124e-6
PIWIL3,3.94301427029363e-6
SPATA19,2.83902886577579e-6
ZSCAN2,2.29140106152923e-6
DAZ4,1.45942454373309e-6
AKAP14,8.60830061212475e-6
GGN,1.78334658308104e-6
MORC1,1.42097448763654e-6
TXNDC2,1.06776391574201e-4
TXNRD3,2.91355210434486e-5
SLC22A16,1.11680569410278e-4
NLRP14,1.64403989454444e-6
SPATA24,2.60028497348274e-6
C8orf42,1.15347732005182e-6
SIAH1,2.43197999009728e-5
SPATA31A7,1.13532910324928e-6
UBR2,8.14444251206593e-5
PHC2,1.04683643840826e-5
CCDC135,1.96797635414104e-6
GPR64,2.97781072436808e-6
SPAG16,7.15419030019468e-6
NME8,7.3054736134552e-5
ZFP41,2.18495548941222e-6
BOLL,1.96668945323357e-5
TEX19,1.55161579432548e-6
SPATA5,1.88902470787077e-6
C9orf24,2.26021949397202e-5
GMCL1P1,2.9658084055e-6
CATSPER1,7.93329488236894e-5
PXT1,2.51638216885024e-6
SPATA20,1.18005997520405e-6
MYCBPAP,1.46132494356136e-6
SUN5,1.40606429470026e-5
KIAA1524,3.54622096235118e-6
SLC2A14,2.84923738981908e-5
CREB3L4,5.42469584145879e-6
STYX,3.56932544448526e-5
ZNF296,2.07011332071466e-6
TCP11,1.16543174940413e-6
IFT81,3.40514005016581e-5
CCT6B,1.48061819209688e-5
BCL2L2,3.35323113441336e-5
FOXJ1,7.12389667178426e-4
ODCP,3.90086691703823e-4
RPL39L,5.28613060956194e-6
DAZAP1,1.96740678838076e-5
SCMH1,9.68071722492487e-6
GMCL1,3.0236797714655e-6
CABS1,2.84501591424646e-6
CALR3,9.03432908335852e-6
RPL10L,6.93664687089697e-6
AK7,5.42993024210788e-5
TBATA,1.29406868306897e-6
CATSPER2,3.15905776789494e-5
DEFB118,3.18311595927794e-6
ADCY10,3.17536083801657e-5
ODF3,1.26380234983722e-5
SLC26A8,5.74822453783813e-5
TESK2,1.58996287795935e-5
MYCBP,2.94166568222087e-6
TSNAX,2.75157487951237e-6
AKAP9,6.63876045276122e-5
SPATA25,1.16093376239596e-6
HERPUD2,1.87551637996135e-6
TMEM48,1.52995007617832e-4
DPCD,3.78800566988208e-5
SPATA9,1.16543174940413e-6
LGR4,2.04707163993583e-4
SPATA16,1.32001520033837e-6
TEX15,3.38703399656244e-5
CADM1,0.00010129813175397601
TSGA10,3.09951641855741e-6
ROPN1B,2.67043594437304e-5
SPEF2,5.41577147722755e-5
WDR33,2.32149507540123e-5
EIF5A2,1.42600132271277e-4
ZNF541,2.31290398246686e-6
XRN2,1.33854055471819e-4
RACGAP1,3.41846807425961e-4
VCX,5.30640675870389e-6
GGNBP2,1.41871068048909e-6
TP63,4.91490234252998e-4
RAD21L1,2.49098582670338e-4
SOX17,6.00728528595655e-4
CATSPERB,1.43145394063504e-5
VIPAS39,1.25803410603453e-5
USP42,9.40087907717566e-6
PLEKHA1,5.82458181582748e-5
ELL3,5.62801894807291e-5
PATZ1,8.08397081451654e-6
PROK2,1.77655465001728e-5
PRM3,8.95143129155772e-6
SPAG4,1.33516892828338e-5
FANCF,1.28733281584973e-5
DAZ1,1.85934553636498e-5
DAZ3,1.45942454373309e-6
SPANXA1,1.12787266090514e-6
DIAPH3,3.49177111202023e-6
TEX40,3.63008397170469e-6
ASF1B,2.20241488661988e-5
SPATA6,1.12851421594536e-6
DNAH9,1.30087629528015e-5
NPAP1,3.54881792989147e-6
THEG,6.14342626446886e-6
NDRG3,2.37347724890074e-6
SFMBT1,6.45962130404859e-6
DUSP13,6.14495265269024e-6
TUBD1,1.06947049385115e-5
DNMT3L,1.37192038270472e-5
ADAM29,2.69123257853071e-6
ADAM28,2.59254793687645e-6
TCFL5,7.78307186461659e-6
SPATA2,1.50646195138721e-6
OAZ3,2.6991130423574e-4
AZI1,3.35212260935815e-5
JAG2,1.83690437091524e-4
CDYL,1.29811459096116e-5
RUVBL1,9.92564204694508e-5
ADAM18,2.63355944636803e-6
MTL5,2.89672661357071e-6
RNF114,2.04626843924015e-6
PCDHGA9,2.51699398573778e-6
PCDHGA4,2.38304489614985e-6
PCYT1B,5.82253360667429e-5
CDY2A,9.52560300808181e-6
CDY1,1.10254127348657e-5
PRSS21,2.9824617255096e-6
SPIN2A,1.07280082513009e-6
ZNF148,1.16632829999603e-5
SMAD1,1.62003209429255e-4
CTDNEP1,5.5959518368568e-5
SPATA22,3.26010246141161e-5
FST,6.51198237989518e-5
WNT3,3.03355855387948e-4
SPIN4,6.7293475471877e-7
KLF17,2.25483718609133e-6
SPIN3,6.7293475471877e-7
SPIN2B,1.26209107366592e-6
RHOXF1,3.14369132874824e-6
GJA10,2.37559441246413e-5
FANCD2,1.63443618276185e-5
FANCL,1.12069959167062e-5
SPIN1,8.54472985441495e-6
THRB,1.32073634337385e-4
THRA,3.27220672838708e-4
OXT,5.52447894897778e-4
PTEN,0.00103163009517212
GRIN1,4.39955487285439e-4
NCOA1,4.40375369134989e-4
DMRTA1,2.96631174151815e-5
AVP,4.59925083916624e-4
AVPR1A,4.16493805032776e-4
PPP1R1B,1.73421302078059e-4
DRD5,2.81400853984676e-4
FUOM,4.96079116334589e-5
NHLH2,1.62200901513181e-5
CYP11A1,4.0230164893498e-4
APP,2.84235200989823e-4
TH,5.84482412743106e-4
DRD1,4.57379360170276e-4
MTNR1A,4.62979946737709e-5
APLP2,4.22532282708394e-5
UBE2Q1,4.33307652685415e-5
SERPINE2,3.5029324134474e-4
TGM4,1.04145786066477e-4
OXTR,3.34508684339424e-4
SLC6A4,3.65131360772797e-4
TACR1,3.97044708205363e-4
EDDM3A,1.17965733816979e-4
KLK14,7.42395531415339e-5
SEMG1,1.00097991173442e-5
TAC1,3.35603826247971e-4
P2RX1,2.80228032028194e-4
DDO,2.15564922416811e-4
EDNRA,2.9529240172029e-4
ABAT,2.98052062450262e-4
PI3,1.00324781911393e-5
OR2H2,3.69089102482221e-6
ACR,1.85401175639012e-4
ZP4,1.34286227946616e-4
SYT6,3.93898449001601e-5
EQTN,7.26665658350832e-5
SYT8,1.04338516696883e-5
PLCD4,1.57276462210563e-5
TRIM36,1.01540939789051e-5
STX2,4.06496924422634e-5
AKAP3,2.59255822823993e-5
GLRA1,2.20915654767555e-4
GLRB,1.01287034792237e-4
SPESP1,1.84534023517139e-5
PKDREJ,2.27678784403137e-5
T,2.00613237134343e-4
B4GALT1,3.34200113208351e-4
SMCP,1.30460343495997e-5
FOLR4,2.21885732117355e-5
CD9,6.14875222223896e-5
TPST2,1.1845276542921e-4
SPAM1,2.73834988466961e-5
CRISP1,2.55336066730494e-5
IZUMO1,1.96577105379605e-5
ADAM2,2.42955697544213e-5
CAMK2B,2.14655994299265e-4
