gene,logFC
ADCYAP1,-0.1702458621583895
ADCYAP1R1,-0.6248345684725636
ADD1,0.8721481274401844
ADD2,-0.46544777705525303
ADD3,2.258402945352417
ADD3-AS1,0.09421811327826725
ADGRA1,0.13645455856810268
ADGRA2,0.7734243406159218
ADGRA3,-2.5219420095579292
ADGRB1,-0.23094906549394248
ADGRB2,0.020207082506677083
ADGRB3,0.3744137190879292
ADGRD1,-0.34965682684565474
ADGRE1,1.694123296289009
ADGRE2,2.333859758444161
ADGRE3,0.13261523793755536
ADGRE5,2.0721152214981524
ADGRF1,-0.30580645125331146
ADGRF3,-0.1345494776001498
ADGRF4,-0.07187815631082109
ADGRF5,0.5991421697873778
ADGRG1,2.066939462744374
ADGRG2,0.9405944714528945
ADGRG3,0.4030492382968204
ADGRG5,1.4967277726626451
ADGRG6,-1.673806593792216
ADGRG7,-3.005432060131265
ADGRL1,0.665021697617509
ADGRL2,-0.5465695567580292
ADGRL3,0.14791072305295053
ADGRL4,0.2320215779191514
ADGRV1,-2.1716822590026146
ADH1A,-3.912955378932321
ADH1B,-2.5415938435476098
ADH1C,-4.331155963461063
ADH4,-3.6730211286799834
ADH5,-0.9577554672567345
ADH6,-3.3365584831758772
ADHFE1,-2.0445378130608183
ADI1,-1.8187636276612336
ADIG,0.15923669680745361
ADIPOR1,-0.10405957204195437
ADIPOR2,-1.1158597764771703
ADIRF,0.2684041599488702
ADK,-1.9530827162562636
ADM,0.8300582960903798
ADM2,-0.3715951832315728
ADM5,0.12591189896391622
ADNP,0.40852431408230033
ADNP2,-0.3865266329794488
ADO,0.561702072539086
ADORA1,-0.34106206871606914
ADORA2A-AS1,-1.5288892952873279
ADORA2A|SPECC1L-ADORA2A,0.6119149809137016
ADORA2B,0.3816287514886107
ADORA3,2.635705877260426
ADPGK,0.5539238402657574
ADPRH,1.5717599999801608
ADPRHL1,-0.09900057935316153
ADPRHL2,0.6086595710445143
ADPRM,0.0967224921602855
ADRA1A,-1.730208377060418
ADRA1B,-0.1935735316533628
ADRA2A,0.6493118515215789
ADRA2B,-0.1514138410181276
ADRA2C,-0.23159639427414283
ADRB2,-0.9587539226776188
ADRB3,-0.2165665891253288
ADRM1,-0.2873529899065937
ADSL,0.7222710525110634
ADSS,-0.21601494230045193
ADSSL1,-0.7717419515479035
ADTRP,0.5542074077401821
AEBP1,2.3216325457335363
AEBP2,-0.27011305066706287
AEN,0.010612374429092068
AES,0.09183859150867468
AFAP1-AS1,0.08168872541053367
AFAP1L1,0.4472713347103373
AFAP1L2,0.32329450909880464
AFDN,-0.7140783700109704
AFDN-AS1,0.48393567725079434
AFF1,0.7591343389339924
AFF2,0.17474165991726032
AFF3,-0.5662987340691655
AFF4,0.8037042395911465
AFG3L1P,-0.11473913656256289
AFG3L2,-0.1380413698253127
AFM,-3.231325385638382
AFMID,-0.820073639941004
AFP,0.7403172415257946
AFTPH,-0.4547008289452787
AGA,-0.6464808005464331
AGAP1,-0.14898295977142048
AGAP2,-0.32532402803732724
AGAP2-AS1,0.14481130763035283
AGAP3,0.20377722453074934
AGBL2,-2.468621749565626
AGBL3,0.24453571988408365
AGBL5,-0.16365254281830574
AGER,-0.3291477690417515
AGFG1,1.574980747044902
AGFG2,-1.150385332443729
AGGF1,0.463084616509419
AGK,0.417378402673143
AGL,-1.8411909778437991
AGMAT,-1.599522895920949
AGO1,0.45197213299602806
AGO2,0.2521266826175771
AGO3,0.3671001225033518
AGO4,0.4247976608573127
AGPAT1,-0.03404929422921479
AGPAT2,-2.0321360469792222
AGPAT3,-0.992284068866259
AGPAT4,1.4715930612159822
AGPAT4-IT1,0.7643232920646871
AGPAT5,-0.5556644402319421
AGPS,-0.8710626656618186
AGR2,0.3556654000558775
AGRN,0.6904561235964898
AGRP,-0.17582046302841114
AGT,-2.42924619945234
AGTPBP1,0.46410574569556806
AGTR1,-1.3245881844545484
AGTRAP,0.8284873795390486
AGXT,-4.674439240195078
AGXT2,-3.359646118521506
AHCTF1|AHCTF1P1,-0.3310400646970765
AHCTF1P1|AHCTF1,0.12906868124947
AHCY,-0.5170415745800707
AHCYL1,0.49908172547985397
AHCYL2,-0.1851249796682041
AHDC1,-0.15399647067295213
AHI1,-0.4356994548801217
AHNAK,-0.597430602363536
AHNAK2,-1.6139664347896272
AHR,-0.8135132885853947
AHRR,0.49886449940940436
AHSA1,-0.38551391507506905
AHSA2,0.79890588812978
AHSG,-3.385572720470227
AHSP,-0.09748396663063676
AIDA,-0.9987835888907263
AIF1,2.8642377814206434
AIF1L,0.5334502918153822
AIFM1,-1.2739248129742367
AIFM2,-0.5393208526568898
AIFM3,0.14456725040099444
AIG1,-1.2664948507861284
AIM1,0.04175344873593173
AIM1L,0.8256913181935472
AIM2,2.4533237582098453
AIMP1,-0.5873475233356498
AIMP2,-0.5226684903005253
AIP,0.3365325364958511
AIPL1,-0.33970629934935437
AJAP1,0.06134093046331622
AJUBA,-2.4397824668323946
AK1,-0.5549034074632122
AK2,-1.1508045106506586
AK3,-0.7143415721975298
AK4,-2.0528387476918533
AK5,-0.0839187040510855
AK6,-0.27438587852395113
AK7,-0.6225622674690636
AK8,-0.061452018634506556
AK9,-0.6629112881868657
AKAIN1,-0.3030269080827723
AKAP1,-1.9107593990153704
AKAP10,1.1100988649647332
AKAP11,-0.3120274977237557
AKAP12,1.65373433411065
AKAP13,2.2205145257862333
AKAP17A,-0.42714025533480515
AKAP2|PALM2-AKAP2,0.48993871793307475
AKAP3,-0.646782113974065
AKAP5,0.32854264490566576
AKAP6,-0.085305246834805
AKAP7,-0.17045246286904087
AKAP8,0.19328471690489868
AKAP8L,-0.5311138136539887
AKAP9,-0.98452103006484
AKIP1,0.6345554713121271
AKIRIN1,-0.30204542508350035
AKIRIN2,0.6361411626841433
AKNA,0.8443723542366689
AKR1A1,-0.017751083026545048
AKR1B1,2.8260556572482427
AKR1B10,5.709747839104409
AKR1C1|AKR1C2,-0.41330294851878985
AKR1C2,-1.1971121507155669
AKR1C2|AKR1C1,-0.701495131138033
AKR1C2|AKR1C4|AKR1C1,-0.7423108604158548
AKR1C3,-0.766711810955882
AKR1C4,-3.169810268592842
AKR1C6P,-0.22804780001589878
AKR1D1,-4.164027962134354
AKR1E2,-0.19587794919137208
AKR7A2,-0.4852959291542702
AKR7A3|AKR7A2|AKR7L|AKR7A2P1,-1.1271023785370864
